Fecha,Hora,Bosque,Transecto ,Periodo,Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Codigo_Final,Latitude,Longitude
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Pieris sp,,no,,"Los d’as 16, 17 y 18 de Abril no se realizaron recursos florares.",tran1,,
16/04/20,13:50:00,2,1,1,Viola sp.,Bombus pascuorum,,si,1,,tran2,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran3,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran4,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran5,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran6,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran7,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran8,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran9,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran10,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran11,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Viola sp.,Bombus pascurorum,,no,,,tran12,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran13,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran14,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran15,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran16,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran17,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,,,si,2,,tran18,,
16/04/20,13:50:00,2,1,1,Taraxacum sp.,,,si,3,,tran19,,
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran20,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran21,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Bombus terrestris,,no,,,tran22,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Bombus pascuorum,,no,,,tran23,43.07809858,-2.80989683
16/04/20,13:50:00,2,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran24,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran25,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,,,si,4,,tran26,,
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran27,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran28,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran29,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran30,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran31,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran32,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Helleborus viridis subsp. occidentalis,,,si,5,,tran33,,
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran34,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran35,43.07809858,-2.80989683
16/04/20,15:35:00,2,2,1,Taraxacum sp.,Apis mellifera,,no,,,tran36,43.07809858,-2.80989683
17/04/20,11:20:00,4,1,1,Taraxacum sp.,Apis mellifera,,no,,,tran37,43.06698302,-2.86114075
17/04/20,11:20:00,4,1,1,Taraxacum sp.,,,si,6,,tran38,,
17/04/20,16:00:00,4,2,1,Taraxacum sp.,Bombus terrestris,,no,,,tran39,43.06698302,-2.86114075
